dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,0.1,1.0,3,quantile,global,0.5520833333333333,0.7145833333333333,0.74375,0.74375
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.1,1.0,0,quantile,global,0.5354166666666667,0.5,0.7270833333333333,0.7270833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.1,1.0,1,quantile,global,0.5999999999999999,0.5604166666666667,0.74375,0.74375
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.1,1.0,2,quantile,global,0.5,0.5583333333333335,0.7458333333333333,0.7458333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.1,1.0,3,quantile,global,0.5333333333333333,0.5604166666666667,0.6666666666666666,0.6666666666666666
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.1,1.0,0,quantile,global,0.5499999999999999,0.6229166666666667,0.66875,0.66875
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.1,1.0,1,quantile,global,0.7291666666666667,0.5,0.625,0.7291666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.1,1.0,2,quantile,global,0.5,0.6958333333333332,0.675,0.6958333333333332
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.1,1.0,3,quantile,global,0.5395833333333334,0.5583333333333333,0.5895833333333333,0.5895833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.1,1.0,0,quantile,global,0.6713362068965517,0.5140086206896552,0.6390086206896552,0.6713362068965517
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.1,1.0,1,quantile,global,0.6045258620689655,0.5,0.6390086206896552,0.6390086206896552
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.1,1.0,2,quantile,global,0.5,0.5,0.6885775862068966,0.6885775862068966
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.1,1.0,3,quantile,global,0.5926724137931034,0.5635775862068966,0.6390086206896552,0.6390086206896552
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.1,1.0,0,quantile,global,0.6551724137931034,0.5,0.7122844827586207,0.7122844827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.1,1.0,1,quantile,global,0.6293103448275861,0.5,0.709051724137931,0.709051724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.1,1.0,2,quantile,global,0.5,0.5474137931034483,0.7575431034482759,0.7575431034482759
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.1,1.0,3,quantile,global,0.6443965517241379,0.6584051724137931,0.7607758620689655,0.7607758620689655
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.1,1.0,0,quantile,global,0.6208333333333333,0.5,0.6375000000000001,0.6375000000000001
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.1,1.0,1,quantile,global,0.56875,0.5,0.5729166666666666,0.5729166666666666
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.1,1.0,2,quantile,global,0.5,0.5916666666666667,0.63125,0.63125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.1,1.0,3,quantile,global,0.63125,0.73125,0.5875,0.73125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.1,1.0,0,quantile,global,0.5604166666666667,0.5,0.7125,0.7125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.1,1.0,1,quantile,global,0.63125,0.5145833333333334,0.7125,0.7125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.1,1.0,2,quantile,global,0.5,0.55625,0.78125,0.78125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.1,1.0,3,quantile,global,0.5895833333333333,0.5375,0.6979166666666667,0.6979166666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.1,1.0,0,quantile,global,0.5833333333333334,0.6229166666666667,0.6666666666666666,0.6666666666666666
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.1,1.0,1,quantile,global,0.675,0.5583333333333335,0.6083333333333333,0.675
