dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.1,3,quantile,global,0.5162525879917184,0.5,0.7931677018633541,0.7931677018633541
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,0,quantile,global,0.5607660455486542,0.5105590062111801,0.7346790890269151,0.7346790890269151
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,1,quantile,global,0.5178053830227742,0.5,0.7320910973084886,0.7320910973084886
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,2,quantile,global,0.5012422360248446,0.5511387163561077,0.7728778467908902,0.7728778467908902
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,3,quantile,global,0.5198757763975156,0.5,0.7416149068322981,0.7416149068322981
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,0,quantile,global,0.5560114309042662,0.5,0.7485813431312512,0.7485813431312512
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,1,quantile,global,0.5339457032047357,0.5039395795060216,0.746927944478465,0.746927944478465
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,2,quantile,global,0.5377015717493366,0.5479485609308022,0.7738518064911206,0.7738518064911206
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,3,quantile,global,0.495366401306389,0.5070422535211268,0.7396815676668708,0.7396815676668708
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.1,0,quantile,global,0.5352316209395098,0.5,0.7729992672799806,0.7729992672799806
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.1,1,quantile,global,0.5404420744117887,0.5,0.7558414068224375,0.7558414068224375
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.1,2,quantile,global,0.5088537002360987,0.5612635349670276,0.7858218676219165,0.7858218676219165
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.1,3,quantile,global,0.5843849222502646,0.5,0.775177074004722,0.775177074004722
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.1,0,quantile,global,0.5455408753096614,0.5,0.7320809248554914,0.7320809248554914
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.1,1,quantile,global,0.5671345995045418,0.5,0.7178777869529314,0.7178777869529314
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.1,2,quantile,global,0.5028075970272502,0.5649876135425268,0.7469859620148638,0.7469859620148638
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.1,3,quantile,global,0.5602807597027251,0.5,0.7705202312138728,0.7705202312138728
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.1,0,quantile,global,0.5572463768115942,0.5,0.7887163561076604,0.7887163561076604
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.1,1,quantile,global,0.560351966873706,0.5,0.7765010351966873,0.7765010351966873
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.1,2,quantile,global,0.5097308488612837,0.5318840579710145,0.7906832298136647,0.7906832298136647
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.1,3,quantile,global,0.546583850931677,0.5,0.7955486542443064,0.7955486542443064
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.1,0,quantile,global,0.5652173913043479,0.5,0.6808488612836439,0.6808488612836439
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.1,1,quantile,global,0.5384057971014493,0.5,0.7075569358178054,0.7075569358178054
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.1,2,quantile,global,0.5055900621118012,0.5590062111801242,0.7715320910973085,0.7715320910973085
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.1,3,quantile,global,0.5453416149068324,0.5,0.7475155279503105,0.7475155279503105
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.1,0,quantile,global,0.5502551541130842,0.5,0.7423555827719943,0.7423555827719943
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.1,1,quantile,global,0.534313125127577,0.5012451520718514,0.751071647274954,0.751071647274954
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.1,2,quantile,global,0.5502551541130842,0.565115329659114,0.7622576035925699,0.7622576035925699
